"","Data","BBDC3","BBDC4","BTOW3","ITUB4","LREN3","PSSA3","TRPL4","VALE3","VALE5","CSMG3"
"9244",2015-08-20,24.66,23.35,13.61,25.97,102,32.76,39.4,16.91,13.5,10.03
"9254",2015-08-21,25.03,23.19,14.48,26.05,101.01,32.44,39.35,16.95,13.59,9.61
"9264",2015-08-24,23.5,22.15,12.35,24.99,92.3,31.2,38.72,15.14,12.42,9.16
"9274",2015-08-25,25.25,23.54,15.58,26.79,96.5,32.2,38.57,16.14,12.84,8.86
"9284",2015-08-26,24.85,23.15,15.84,26.15,97.41,32.99,37.86,15.73,12.5,8.9
"9294",2015-08-27,26.39,24.4,15.37,27.62,100.11,33.13,38.98,16.2,12.85,9.16
"9304",2015-08-28,26.89,24.22,15.99,28,102.24,33.99,40.02,17.45,13.48,9.28
"9314",2015-08-31,25.73,23.18,16.8,26.84,99.77,33.49,38.42,17.02,13.44,9.31
"9324",2015-09-01,24.22,22.3,15.26,25.92,95.74,32.67,37.57,17.31,13.65,9.28
"9334",2015-09-02,24.5,22.61,14.87,26.26,96.89,32.45,36.72,17.52,14.03,9.48
"9344",2015-09-03,25.12,22.98,15.25,26.68,94.06,32.55,36.11,18.18,14.71,9.37
"9354",2015-09-04,24.95,22.72,15.01,26.88,94.71,32.1,39.99,18.35,14.86,9.12
"9363",2015-09-08,24.78,23.03,16.4,27.05,95.08,32.54,36.28,18.97,15.24,8.76
"9373",2015-09-09,25.03,23.12,15.22,27.1,93.48,32.54,35.85,19.4,15.7,8.68
"9383",2015-09-10,23.98,22.49,14.1,26,89.8,31.24,36.98,18.7,15.01,8.68
"9393",2015-09-11,24.5,22.53,14.86,26.4,94.78,31.94,37.3,20.23,16.11,8.87
"9403",2015-09-14,24.69,22.46,14.55,26.69,95.98,31.36,38.96,19.32,15.62,10.58
"9413",2015-09-15,25.77,23.36,16.06,27.38,99.22,33.38,40.25,19.1,15.2,10.9
"9423",2015-09-16,26.29,24.01,16.63,28.5,97.68,34.54,40.99,18.82,14.98,10.42
"9433",2015-09-17,26.65,24.5,17.3,28.53,100.55,33.99,41.94,18.88,14.95,11.17
"9443",2015-09-18,26.57,24.35,17.75,28.6,98.98,34.28,42.52,19.46,15.5,11.11
"9453",2015-09-21,25.63,23.24,17.64,27.8,96.66,32.93,41,20.01,15.7,10.83
"9463",2015-09-22,24.56,22.31,16.57,26.92,96.79,31.5,41.27,19.45,15.23,11.35
"9473",2015-09-23,25.05,22.65,15.51,27.44,96.41,32.23,41.99,19.46,15.4,10.72
"9483",2015-09-24,23.23,21.27,15.15,25.61,18.7,30.78,40.39,18.35,14.7,11.23
"9493",2015-09-25,24.77,22.47,16.4,27.05,18.66,31.3,39.77,18.66,14.96,11.26
"9503",2015-09-28,23.61,21.37,15.61,25.83,18.76,29.6,39.99,17.7,13.78,11.89
"9513",2015-09-29,23.24,21.17,14.85,26.07,18.24,30.33,39.13,16.8,13.3,12.7
"9523",2015-09-30,24.02,21.75,14.61,26.57,18.91,31.2,39.81,16.96,13.6,12.33
"9533",2015-10-01,23.79,21.5,15,26.5,18.48,29.95,41,16.81,13.41,12.69
"9543",2015-10-02,23.82,21.53,14.23,26.66,18.47,30.37,40.2,17.08,13.7,12.09
"9553",2015-10-05,25.46,22.99,15.28,28.35,19.74,32.4,41.35,18.1,14.6,11.98
"9563",2015-10-06,25.66,23.08,15.52,28.3,19.09,34.39,41.3,18.35,14.74,11.93
"9573",2015-10-07,26.3,23.9,17.75,29.3,19.85,34.25,41.53,19.3,15.8,12.03
"9583",2015-10-08,26.74,23.93,18.79,29.46,19.89,33.79,42.02,20.07,15.76,11.92
"9593",2015-10-09,27.5,24.61,17.99,30.19,20.3,34.85,41.54,20.53,16.22,12.7
"9603",2015-10-13,26.37,23.45,16.97,28.7,19.4,33.44,41.6,19.97,15.61,12.17
"9613",2015-10-14,24.79,22.53,17.79,27.78,18.97,33.6,39.89,18.7,14.99,13.05
"9622",2015-10-15,25.2,22.61,16.66,27.83,19.1,34.19,40.53,18.86,15.25,13.45
"9632",2015-10-16,25.05,22.44,17.49,27.1,19.5,34.58,40.61,18.86,15.17,13.16
"9642",2015-10-19,24.68,22.13,17.52,26.95,20.22,34.26,40.39,18.41,15.18,13.61
"9652",2015-10-20,24.67,22.15,17.45,27.65,20.55,34.51,40.32,17.9,14.75,13.47
"9662",2015-10-21,24.23,21.5,17.08,27.04,19.91,34.92,39,17.6,14.35,13.39
"9672",2015-10-22,24.26,21.68,17.5,26.82,19.9,35.48,39.29,18.2,14.92,12.2
"9682",2015-10-23,25.05,22.38,16.98,27.85,20.5,34.45,41.11,19.25,15.31,12.65
"9692",2015-10-26,24.07,21.7,16.8,27.25,19.27,34.75,40.28,18.55,15.02,12.43
"9702",2015-10-27,24.08,21.4,16.53,26.7,18.75,35.24,39.67,17.81,14.34,12.52
"9712",2015-10-28,23.96,21.46,16.05,26.58,19.08,34.47,40.81,16.86,13.7,12.2
"9722",2015-10-29,23.88,21.5,15.72,26.38,18.4,33.5,41.3,16.21,13.28,12.49
"9732",2015-10-30,23.61,21.23,15.4,26.27,18.25,32.8,42.43,16.31,13.49,12.51
"9742",2015-11-03,23.8,21.2,14.91,26.7,18.5,32.1,44.4,17.25,14.13,13.02
"9752",2015-11-04,25.3,22.51,15.6,28.59,18.86,32.37,45.1,18.17,14.71,13.91
"9762",2015-11-05,24.64,21.73,15.41,28.23,19.12,31.41,46.29,17.41,14.17,14.25
"9772",2015-11-06,24.79,22.11,15.78,28.5,18.9,33.29,46.28,16.16,13.26,14.74
"9782",2015-11-09,24.38,21.81,15.59,27.99,18.59,33.18,45.98,15.64,13.03,13.91
"9792",2015-11-10,23.64,21.4,14.9,27.36,18,32.42,43.43,15.35,12.83,14.1
"9802",2015-11-11,23.88,21.53,14.38,27.84,18.58,31.86,45.91,15.51,12.87,14.51
"9812",2015-11-12,23.99,21.63,14.45,28.33,19.3,33.55,46.06,15.15,12.7,14.78
"9822",2015-11-13,23.83,21.52,14,28.17,19.01,34.17,46.34,15.09,12.57,15.18
"9832",2015-11-16,23.93,21.54,15.1,27.76,19.22,33.47,46.69,15.38,12.8,14.76
"9842",2015-11-17,24,21.79,14.41,28.6,19.2,34,45.56,15.1,12.53,15.54
"9852",2015-11-18,24.86,22.5,14.75,28.59,19.55,35,46.5,14.45,12.06,15.68
"9862",2015-11-19,25.65,23,14.8,29,19.62,34.55,46.1,14.88,12.17,15.7
"9872",2015-11-23,26.12,23.7,14.63,29.62,20.03,34.44,46.17,14.34,12,16.61
"9882",2015-11-24,25.61,22.9,14.54,29.05,19.75,34.87,45.65,14.11,11.76,16.39
"9892",2015-11-25,25.42,22.59,14.4,28.75,19.6,35.2,45.19,14.22,11.8,15.98
"9902",2015-11-26,24.97,21.93,14.9,28,19.01,34.76,43.62,14.12,11.78,16.78
"9911",2015-11-27,25.21,22.18,14.9,28.12,18.7,34.8,44.37,14.08,11.62,16.53
"9921",2015-11-30,24.05,21.3,14.55,27.4,18.1,34.01,43.7,13.04,10.76,16.64
"9931",2015-12-01,23.91,21.12,14.77,27.85,17.51,33.25,44.21,13,10.65,16.36
"9941",2015-12-02,24.04,21.07,14.61,27.87,17.38,34.8,42.63,12.84,10.45,16.37
"9951",2015-12-03,25.08,21.9,15.8,28.3,17.6,35.2,43.51,12.85,10.66,16.14
"9961",2015-12-04,25.09,21.84,16.39,28.57,17.96,35.5,43.48,12.84,10.18,16
"9971",2015-12-07,24.52,21.8,16.44,28.51,17.6,35.5,41.56,12.35,10.04,15.81
"9981",2015-12-08,24.29,21.38,14.99,27.96,17.92,35.12,41.79,11.94,9.57,15.62
"9991",2015-12-09,24.19,21.23,14.62,28.05,17.85,33.61,43.03,11.95,9.45,15.05
"10001",2015-12-10,24.77,21.79,14.8,28.88,18.71,33.85,44.04,12.1,9.58,15.99
"10010",2015-12-11,23.5,20.76,14.48,28.51,17.91,32.97,44.13,12.19,9.7,15.09
"10020",2015-12-14,23.11,20.74,14.5,28.52,17.69,32.25,44.71,12.18,9.61,14.71
"10030",2015-12-15,22.87,20.6,14.55,28.21,17.79,31.84,44.19,12.6,10.05,14.27
"10040",2015-12-16,22.68,20.5,14.07,28.05,17.24,31.11,44.49,12.71,10.17,13.83
"10050",2015-12-17,23.11,20.85,14.49,28.7,17.94,30.91,44.33,13.5,10.7,14
"10060",2015-12-18,22.15,19.86,14.35,27.87,17.43,31.74,44.33,12.32,10.05,15.3
"16472",2015-12-21,21.63,19.84,13.84,27.1,17.45,30.47,43.9,13.1,10.59,14.74
"16482",2015-12-22,21.12,19.22,14.5,26.75,17.41,30,42.99,12.38,9.81,13.38
"16492",2015-12-23,21.29,19.55,14.25,27.09,17.1,30,43.9,13.12,10.39,13.52
"16502",2015-12-28,21.3,19.5,14.39,26.55,17.01,30.21,44,13,10.32,14.15
"16511",2015-12-29,21.44,19.78,14.92,26.6,17.05,29.51,44.67,12.61,10.09,15.56
"16521",2015-12-30,21.5,19.75,15.09,26.53,17.42,29.03,44.97,12.88,10.07,14.38
"16531",2016-01-04,20.2,19.02,15.17,25.92,16.76,28.78,45.19,12.49,9.87,15.2
"16541",2016-01-05,20.2,19.12,14.63,25.4,16.35,28.91,44.7,12.67,10.01,14.67
"16551",2016-01-06,20.07,18.77,14.57,25,17.01,29.37,44.4,12.08,9.57,13.7
"16561",2016-01-07,19.51,18.38,14.59,24.9,16.99,28.8,43.79,11.26,8.89,12.7
"16571",2016-01-08,19.52,18.62,14.21,24.95,17,28.04,42.5,11.07,8.73,11.88
"16581",2016-01-11,19.43,18.11,14.66,24.91,16.9,27.35,43.48,10.5,8.18,12.19
"16590",2016-01-12,19,17.75,14.1,24.8,16.66,26.2,43.91,10.46,8.05,11.76
"16600",2016-01-13,19.19,17.7,14.45,24.86,16.95,27.3,41,9.61,7.43,11.61
"16609",2016-01-14,19.07,17.3,14.27,24.3,16.94,26.85,43.7,9.15,7.11,11.21
"16619",2016-01-15,19,17.39,14.13,24.1,16.32,26.59,43.31,9.17,7.15,11.5
"16628",2016-01-18,18.46,17.26,13.82,24,16.44,25.98,42.99,9.31,7.32,11.38
"16638",2016-01-19,18.69,17.5,13.41,24.03,16.49,25.76,42.2,9.51,7.36,11.3
"16648",2016-01-20,17.9,17.02,13.8,23,16.15,25.1,41.61,8.97,6.82,11.04
"16657",2016-01-21,18.23,17.15,12.79,23,16.29,23.84,41.46,9.21,6.88,10.9
"16667",2016-01-22,18.71,17.16,13.29,23.35,16.68,23.15,41.15,9.45,7.05,10.7
"16677",2016-01-26,18.43,17.13,12.9,23.05,16.59,22.98,42.19,8.79,6.55,10.35
"16686",2016-01-27,18.58,17.14,13.06,23.47,16.35,24,41.1,8.95,6.76,10.66
"16695",2016-01-28,19.03,17.59,14,23.94,17.1,24.66,41.86,9.41,7.18,11.9
"16705",2016-01-29,19.39,17.49,13.81,24.1,17.14,25.28,43.6,9.32,7.15,12.71
"16715",2016-02-01,19.68,18.02,13.33,24.71,17.5,26.93,45.55,9.63,7.18,13.19
"16725",2016-02-02,19.43,18.09,13.54,24.46,17.62,26.19,45.71,9.19,7,13.83
"16735",2016-02-03,19.18,18.8,12.74,23.79,17.77,25.08,44.92,8.75,6.75,13.07
"16745",2016-02-04,20.42,18.97,12.62,24.6,18.55,26.93,45.89,9.58,7.3,12.99
"16755",2016-02-05,21.4,19.73,12.78,24.5,17.28,25.38,44.75,10.29,7.72,12.98
"16765",2016-02-11,20.71,19.37,12.14,24.43,16.09,23.75,46.1,9.95,7.52,12.67
"16775",2016-02-12,20.89,19.48,12.41,24.36,16.26,23.9,45.73,10.05,7.58,12.62
"16785",2016-02-15,21.08,19.55,11.48,24.79,16.4,24.06,45.7,10.68,7.84,12.54
"16795",2016-02-16,20.91,19.35,10.86,24.35,16.37,23.34,46.1,10.52,7.76,12.73
"16805",2016-02-17,21.56,20.13,11.3,25.2,16.87,22.97,46.4,11.69,8.47,12.77
"16815",2016-02-18,21.4,20.09,10.76,24.88,17.06,23.78,47.24,11.92,8.6,13.06
"16825",2016-02-19,21.2,19.6,11.85,23.87,17.12,24.36,46.42,11.41,8.26,12.85
"16835",2016-02-22,22.29,20.39,11.25,24.95,18.26,24.49,47.07,12.5,9.2,13.47
"16845",2016-02-23,22.45,20.59,11.3,25.03,17.77,25.4,46.8,12.98,9.27,13.96
"16855",2016-02-24,22.28,20.45,11.39,24.54,17.04,23.6,46.4,11.77,8.58,13.89
"16865",2016-02-25,22.48,20.49,11.2,24.44,17.3,23.09,45.43,11.17,8.15,13.63
"16875",2016-02-26,23,21.04,11.78,24.87,18,23.5,47.06,11.39,8.39,14.01
"16885",2016-02-29,22.84,20.99,11.46,25.1,17.68,22.99,45.74,11.23,8.22,14.2
"16895",2016-03-01,23.61,21.47,11.55,25.64,18.36,23.73,46.28,12.2,8.87,14.83
"16905",2016-03-02,23.85,21.89,11.81,26.6,18.64,24.39,46.39,12.81,9.25,15.13
"16915",2016-03-03,24.95,22.65,12,27.5,19.4,25.4,46.24,14.48,10.16,14.62
"16925",2016-03-04,27.02,26,12.43,31.89,19.9,26.9,47.28,16.72,12.01,15.95
"16935",2016-03-07,28.5,26.9,12.7,31.35,20.5,25.53,46.9,17.75,12.45,15.9
"16945",2016-03-08,27.53,26,12.3,31.08,20.76,26.5,46.57,16.81,12.18,15.8
"16955",2016-03-09,28.56,26.72,12.68,32.29,21.14,27.27,47.06,15.33,11.5,15.92
"16965",2016-03-10,28.46,25.65,12.66,31.59,21.16,27.66,47.2,15,11.05,15.82
"16975",2016-03-11,28.79,25.85,13.78,31.82,21.13,27.75,48.2,14.07,10.2,15.82
"10070",2016-03-14,29.9,26.86,14.14,32.52,20.87,28.48,48.7,13.9,10.25,16.91
"10080",2016-03-15,28.03,25.62,13.8,31,20.84,27.63,46.91,12.99,9.3,17.57
"10090",2016-03-16,27.6,24.68,13.51,30.3,20.25,25.73,47.63,13.52,9.77,16.6
"10100",2016-03-17,29.51,27.2,15.14,32.6,21.92,27.23,48.72,15.62,11.39,18.39
"10110",2016-03-18,31.02,27.72,14.55,33.04,22.36,28.67,48.59,15.89,11,18.16
"10120",2016-03-21,30.68,27.5,15.56,33.19,21.47,28.61,48.7,15.49,11.3,18.44
"10130",2016-03-22,31.1,27.69,16.21,33.1,21.7,28.5,48.76,14.99,11.05,18.3
"10140",2016-03-23,30.8,27.27,15.86,31.83,21.87,27.3,49.24,15.29,11.08,18.37
"10150",2016-03-24,29.53,26,15.41,30.4,21.25,27.03,49.13,13.99,10.27,18.15
"10160",2016-03-28,30.6,27.39,15.91,32.25,22,27.54,48.6,15.72,11.76,18.62
"10170",2016-03-29,30.71,27.67,15.05,31.8,21.77,27.29,49.17,15.1,11.28,18.56
"10180",2016-03-30,31.54,28.26,15.1,32.2,21.63,28.4,49.2,15.38,11.52,19.31
"10190",2016-03-31,30.99,27.85,14.96,31.78,21.6,27.84,48.8,15.2,11.5,18.33
"10200",2016-04-01,29.48,26.53,14.22,30.75,20.46,26.94,47.8,14.89,11.14,18.7
"10210",2016-04-04,30.09,27.07,13.66,31.07,21.01,28.99,47.86,15.61,11.88,18.77
"10220",2016-04-05,29.5,26.25,12.11,30.15,20.26,27.92,47.57,14.5,11.19,18.34
"10230",2016-04-06,29.43,26.23,12.63,29.95,20.1,27.41,47.46,15.08,11.51,17.57
"10240",2016-04-07,29.47,26.25,12.79,29.9,20.15,28.01,46.91,15.42,11.6,17.35
"10250",2016-04-08,30.5,27.1,13.02,30.7,21.2,28.58,47.2,15.5,11.6,17.38
"10260",2016-04-11,31,27.75,12.76,32.2,21.5,28.94,48.64,16.46,12.58,17.7
"10270",2016-04-12,31.7,28.39,12.29,32.23,20.78,29.88,48.59,17.5,13.13,18.5
"10280",2016-04-13,32.96,30,12.84,34.15,21.55,29.89,49.6,19.76,14.8,18.87
"10290",2016-04-14,32.67,29.56,13.85,33.82,21.76,29.48,49.47,19.91,15.15,19.32
"10300",2016-04-15,32.18,28.91,13.08,33.03,22.04,29.63,48.24,18.4,13.92,19.98
"10310",2016-04-18,28.65,26,13.61,32.52,21.52,29.68,49,18.7,14.35,19.66
"10320",2016-04-19,29,26.4,13.61,33,21.43,30.48,49.13,19.75,15.1,19.34
"10330",2016-04-20,28.4,25.98,13.59,32.65,21.11,29.56,50,20.57,15.88,19.97
"10340",2016-04-22,27.61,25.5,13.85,31.8,20.56,29,50.1,20.01,15.59,20.25
"10350",2016-04-25,27.97,25.5,13.76,31.6,19.69,29.67,55.21,19.2,14.95,20.16
"10360",2016-04-26,27.68,25.15,13.76,31.6,18.85,27.98,54.38,18.12,14.24,20.53
"10370",2016-04-27,28.79,25.86,14.1,32.69,20.01,28.1,55.3,18.71,14.79,21
"10380",2016-04-28,28.53,26,14.28,33.1,20.32,28.62,55.67,20.47,15.99,21.19
"10390",2016-04-29,28.75,26.45,14.18,33.58,20.79,27.55,55.11,20.26,15.86,21.38
"10400",2016-05-02,28.4,25.91,13.69,32.83,20.63,27.81,56.1,20.14,15.92,21.93
"10410",2016-05-03,27.15,24.83,13.66,31.08,20.97,27.78,55.3,19.14,15.08,21.64
"10420",2016-05-04,26.79,24.96,13.68,30.46,20.9,28.2,55.86,17.6,13.88,21.45
"10430",2016-05-05,28.25,26.11,13.99,31.17,21.23,27.7,56.25,17.8,14.15,21.6
"10440",2016-05-06,27.01,24.99,13.1,30,20.76,25.91,56.3,16.37,13.03,21.62
"10450",2016-05-09,27.15,25.02,12.1,30.17,20.51,26.01,57.65,16.1,12.96,23
"10460",2016-05-10,27.98,25.83,11.15,30.99,20.81,25.65,58.19,15.6,12.59,23.8
"10470",2016-05-11,29.02,26.99,11.15,32.93,21.73,26.2,58.81,16.23,13.4,24.68
"10480",2016-05-12,28.86,27.2,10.95,32.8,21.72,26.61,58.4,16.06,13.05,25.57
"10490",2016-05-13,28.9,27.28,10.41,32.42,22.17,27.38,60.56,15.41,12.7,25.36
"10500",2016-05-16,27.85,26.18,9.47,31.15,21.95,26.95,61.99,14.6,12.11,25.12
"10510",2016-05-17,27.65,26.04,10.54,31.11,22.39,26.2,60.73,15.18,12.25,25.69
"10520",2016-05-18,26.7,24.79,10.26,29.95,21.47,25.9,61.71,14.82,12.15,25.17
"10530",2016-05-19,26.64,24.95,10.25,30.41,21.21,26.04,60.2,14.34,11.63,25.03
"10540",2016-05-20,26.65,24.97,10.71,30.81,21.03,26.38,60.26,15.25,12.15,25.68
"10550",2016-05-23,25.33,23.86,11.04,29.59,21,25.95,60.29,13.66,11.06,25.59
"10560",2016-05-24,26.21,24.72,10.91,30.52,21.48,25.99,61.56,14.61,11.66,24.61
"10570",2016-05-25,26.31,24.76,10.59,30.45,21.4,26.45,60.96,14.1,11.5,24.1
"10580",2016-05-27,25.81,24.46,10.45,30,20.49,25.98,60.28,14.7,11.7,24.4
"10590",2016-05-30,25.55,24,10.7,29.65,20.67,26.23,59.16,14.39,11.43,24.28
"10599",2016-05-31,25.29,23.85,10.58,29.58,20.45,26.13,56,14.07,11.2,24.68
"10607",2016-06-01,24.61,23.1,10,29.07,20.9,26.4,60.33,14.09,11.09,25.1
"10617",2016-06-02,24.76,23.2,9.56,29.54,21.23,25.94,60.48,14.37,11.34,25.59
"10627",2016-06-03,25.56,24.1,9.5,30.17,21.98,26.5,60.46,15.26,11.99,25.06
"10637",2016-06-06,25.92,24.19,9.29,30,22.15,26.19,60.68,16.61,13,26.6
"10647",2016-06-07,25.25,23.85,9.01,29.5,22.06,26.3,59.86,16.84,12.9,25.51
"10657",2016-06-08,25.7,24.4,8.99,30.24,22.58,26.63,60.02,16.78,13.17,26.16
"10667",2016-06-09,26.07,24.85,9.42,30.41,22.53,26.77,60.25,16.8,12.9,26.32
"10677",2016-06-10,25.97,24.69,9.49,30.1,22.5,26.52,60.05,15.14,12.1,25.97
"10687",2016-06-13,25,23.85,9.17,28.8,22,26.04,59.56,14.66,11.73,25.95
"10697",2016-06-14,25.58,24.37,9.08,29.06,22.27,26.42,60,15.11,12,25.65
"10707",2016-06-15,25.29,24.1,9.1,28.68,22,26.53,62.94,14.8,11.93,25.91
"10717",2016-06-16,25,23.61,9.11,28.21,22,26.14,61.2,14.79,12.05,25.88
"10727",2016-06-17,25.77,24.7,9.3,29.29,22.5,26.46,61.03,15.64,12.4,26.86
"10737",2016-06-20,26.25,24.75,9.3,29.38,23.13,26.24,60.26,15.77,12.7,27.1
"10747",2016-06-21,25.63,24.34,9.65,28.85,23,26.4,59.87,15.62,12.44,27
"10757",2016-06-22,26.01,24.95,9.79,29.35,23.75,26.41,60.12,15.81,12.6,26.89
"10767",2016-06-23,26.37,25.09,9.85,29.19,23.21,27,61.42,16.26,13,27
"10777",2016-06-24,25.94,24.44,9.54,29,22.78,26.94,60.14,15.48,12.69,26.56
"10787",2016-06-27,26.18,24.86,9.57,29.06,22.72,27.01,61.38,15.31,12.31,26.77
"10797",2016-06-28,26.06,24.49,9.19,28.53,22.8,26.22,61.67,15.2,12.33,27
"10807",2016-06-29,26.75,24.77,9.22,29.39,23.07,26.86,62.3,15.88,12.85,27.33
"10817",2016-06-30,26.63,24.91,9.3,29.56,23.25,26.51,61.99,15.89,12.96,28.68
"10827",2016-07-01,27.26,25.28,9.33,30.41,23.9,26.63,62.5,16.31,13.05,29.6
"10837",2016-07-04,27.38,25.81,9.3,31.08,24.01,26.8,62.25,16.86,13.54,29.64
"10847",2016-07-05,27,25.6,9.45,30.6,24.35,26.47,62.55,16.61,13.29,30.03
"10857",2016-07-06,26.7,25.45,10.45,30.4,24.24,26,62.9,15.84,12.7,29.73
"10867",2016-07-07,26.85,25.68,11.4,30.95,24.35,26.06,64.68,16.35,13.21,30.67
"10877",2016-07-08,27.33,26,11.2,31.45,24.58,26.37,63.99,16.26,13.03,31.1
"10887",2016-07-11,27.62,26.6,11.7,32.08,25.79,26.6,64.3,16.55,13.29,31.7
"10897",2016-07-12,27.96,27,12.2,32.55,26.14,27.27,65.33,17.44,13.95,33.43
"10907",2016-07-13,27.5,26.52,12,31.93,25.9,27.09,64.35,17.75,13.97,33.1
"10917",2016-07-14,28.49,27.5,12.76,33.25,26.26,27.75,65.88,18.1,14.37,33.96
"10927",2016-07-15,29,28.3,12.92,33.5,25.85,28.25,66.4,17.36,13.79,33.49
"10937",2016-07-18,29,28.26,13.53,33.59,26.18,28.15,65.83,17.35,13.61,32.91
"10947",2016-07-19,29.69,28.81,13.46,33.8,26.56,28.94,66.1,17.24,13.75,33.85
"10957",2016-07-20,29.55,28.9,13.99,33.98,26.45,28.8,66.43,16.83,13.65,33.88
"10967",2016-07-21,29.7,29,14.02,34.36,26.59,28.78,66.46,16.89,13.9,32.58
"10976",2016-07-22,29.59,28.81,13.79,33.81,26.36,28.79,65.64,17.28,14,33.63
"10986",2016-07-25,29.65,29.14,13.63,34.1,26.85,29.06,66.34,17.34,14.18,32.82
"10996",2016-07-26,29.41,28.9,12.96,33.9,26.89,28.7,66.36,17.46,14.15,32.97
"11006",2016-07-27,29.5,28.77,12.59,33.6,26.09,28.33,65.64,18.6,14.81,33.19
"11016",2016-07-28,29.37,28.5,12.67,33.53,26.42,28,66.83,19.06,15.38,33.5
"11026",2016-07-29,28.57,27.45,12.71,32.91,27.01,27.01,67.78,18.9,14.79,33.01
"11036",2016-08-01,29.22,28.45,12.99,33.75,27.49,28.18,69.24,18.8,15.25,33.38
"11046",2016-08-02,29.19,28.16,13.42,33.45,27.15,29.59,66.76,18.01,14.63,32.58
"11056",2016-08-03,28.83,27.9,13.23,33.62,26.8,27.88,67.3,17.91,14.65,32.99
"11066",2016-08-04,29.64,28.8,13.59,35.5,27.1,27.55,66.07,18.58,15.26,32.62
"11076",2016-08-05,29.91,29.05,13.66,35.8,27.2,27.82,67.87,19.11,15.75,32.62
"11086",2016-08-08,29.71,28.96,13.78,34.91,27.04,28.24,65.99,19.05,15.75,32.46
"11096",2016-08-09,30.02,28.97,13.12,35.25,26.76,27.65,65.78,19.05,15.77,32.69
"11106",2016-08-10,29.83,28.8,13.49,35.2,27.2,27.65,65,19.19,16,33.03
"11116",2016-08-11,28.86,28.35,13.64,35.1,26.59,27.86,64.33,18.15,15.4,32.1
"11126",2016-08-12,29.45,28.99,13.7,35.7,27.09,28.35,65.42,18.34,15.59,33.49
"11136",2016-08-15,29.86,29.29,14.15,35.79,27.2,28.36,65.69,18.08,15.63,32.74
"11146",2016-08-16,29.6,29.47,15.14,36.1,26.87,27.8,66.5,18.58,16.09,31.95
"11156",2016-08-17,29.64,29.09,15.77,36.1,26.6,27.87,66.63,18.8,16,31.51
"11166",2016-08-18,29.91,29.4,15.84,36.42,26.4,27.61,67.6,19.14,16.14,32.01
"11176",2016-08-19,29.88,29.45,15.88,36.3,25.6,27.79,65.92,18.9,16.06,32.64
"11186",2016-08-22,29.6,29.3,16.4,36.17,25.41,27.21,65.53,18.94,15.95,32.98
"11196",2016-08-23,29.01,28.9,16.1,35.87,25.74,26.33,63.95,18.75,15.85,31.64
"11206",2016-08-24,28.31,28.2,15.94,35.25,24.55,26.35,63.75,18.6,15.69,31.83
"11216",2016-08-25,28.6,28.2,16.11,35.38,24.97,27,64.06,18.2,15.36,31.73
"11226",2016-08-26,28.94,28.45,16.3,35.53,25.6,26.37,66.09,18.31,15.5,32
"11236",2016-08-29,28.73,28.75,16.29,35.6,25.3,26.8,67.29,17.85,15.14,31.29
"11246",2016-08-30,29.41,29.3,17.1,36.4,25.53,27.18,68.7,18.11,15.3,32.07
"11256",2016-08-31,29.49,29.26,16.58,36.7,25.5,27.64,68.3,17.65,15.07,32.3
"11266",2016-09-01,29.11,29.18,16.3,35.75,25.44,27.58,67.82,17.05,14.65,33.22
"11276",2016-09-02,29.32,29.01,16.22,36.36,25.4,28.01,67.74,17.7,15.04,33.01
"11286",2016-09-05,29.98,29.7,16.64,36.73,25.9,28.93,68.02,18.39,15.55,33
"11296",2016-09-06,30.2,29.89,16.96,36.9,26,29.47,68.1,17.99,15.15,33.18
"11306",2016-09-08,30.22,29.88,16.85,36.74,26.26,29.93,69.46,18.01,15.32,33.48
"11316",2016-09-09,29.83,29.9,16.94,36.12,25.41,29.67,67.67,17.66,15,33.46
"11326",2016-09-12,28.47,28.58,16.15,35.18,24.99,29.98,65.16,16.84,14.36,32.31
"11336",2016-09-13,28.3,28.35,16.48,35.34,24.69,29.95,66.38,17.08,14.53,33.12
"11346",2016-09-14,27.85,27.89,15.99,35.02,24.61,29.88,66.33,16.5,14.08,31.27
"11356",2016-09-15,27.83,27.89,16.02,35.2,24.7,29.78,66.7,16.78,14.2,32.11
"11366",2016-09-16,27.82,28.42,15.78,35.61,24.85,29.81,66,16.58,14.01,32.11
"11376",2016-09-19,27.9,28.54,16.65,35.39,24.82,29.65,65.93,16.75,14.25,30.83
"11386",2016-09-20,28,28.45,16.75,35.46,25,29.62,65.21,16.72,14.35,30.87
"11396",2016-09-21,28.35,28.89,16.35,35.7,25.06,29.61,65.63,17.21,14.73,30.82
"11406",2016-09-22,29.1,29.42,16.5,35.99,25.3,29.73,66.21,17.86,15.42,32.28
"11416",2016-09-23,28.66,29.57,16.48,36.2,25.49,29.71,65.83,17.47,15.18,32.24
"11426",2016-09-26,28.46,29.36,16,35.71,25.1,30.15,65.55,17.39,15.13,32.09
"11436",2016-09-27,28.74,29.5,15.98,35.97,25.08,29.87,65.8,17.35,15.18,32.67
"11446",2016-09-28,28.7,30.04,16,36.3,25.35,29.64,66.15,17.68,15.4,32.54
"11456",2016-09-29,28.95,30.01,16.21,36.6,25.32,29.54,67.76,18.21,15.83,32.85
"11466",2016-09-30,28.46,29.64,15.79,35.75,24.89,29.85,67.06,18.02,15.55,32.18
"11476",2016-10-03,27.7,29.1,16.1,35.5,24.57,29.6,66,17.85,15.4,32.69
